,col
0,"Date: 05j16.2012
DOB: T2.16.1939
Fbdomen Ct Scan"
1,DOB: 08.13.19P4
2,"Debbie War|
Date: 08.30.0009
DOB: 05.11.q951
A~kle 7R Scan"
3,Date: 12.0b.2020
4,"Ann Pate&
DOB: 11.45.1967
Xnee 5T Scan"
5,"Paul >hillips
Date: 03.w1.2007"
6,
7,Date: l2.16.2007
8,"Shannon Ste enson
Date: 07.15.p000"
9,"Date: 03.23.2P12
DOB: 02.16.19/6"
10,"JessGca Garcia DVM
HePd CZ Scan"
11,"Date: 08.23.20,7
DOB: 10.20z1989"
12,
13,
14,"Catherine/Anderson
Date: 0V.04.2013"
15,tlex Ruiz
16,"Date: 0B.21.2007
DOB: (4.04.1973
yelvis Ma Scan"
17,"DOB: 08.08.L976
SpDne kR Scan"
18,
19,"MarySSanders
DOB: 0x.10.1981"
20,Date: 09.23.1*94
21,DOB: 04.1P.1965
22,DOB: 06.19.t960
23,"Date: 04.23.2003
DOB: 01.04.194C"
24,"Christopher Maytinez
Date: 03.16!1999
DOB: 05.07..989"
25,Robert Do;glas
26,"Ja;queline  atterson
Date: 07.26.e017
DOB: 09.U8.2000"
27,Date: 02.24.20B3
28,Date: 02.D7.2018
29,"Jessi_a Ramirez
DOB: 0#.03.1978"
30,
31,"`imothy Tucker
Date: 10.16.199N
DOB: 02.23p1945"
32,Su an Martinez
33,"Elizabeth _ittle
Date: 0`.25.1999"
34,"Ashley All1n
Date: 02.06h2018"
35,"KareY Rodriguez
DOB: 10.30.1}48"
36,DOB: 02.23.1O92
37,Date: 07.23.F012
38,Stephen Martinoz
39,"Charles M~tchell
Date: 09.14.y022
DOB: 04.02.x984"
40,Date: 11.17.m002
41,"Date: 09.1l.2003
DOB: 07.18.1@42"
42,"Date: 10./0.2014
DOB: 03.19.19*2
AnklC M_ Scan"
43,DOB: 12.02.b989
44,DOB: 03.z4.1983
45,"Date: 05.03.201t
DOB: 02.17.2000"
46,"Date: 02.08.v022
DOB: 02.19.0937
FDot M& Scan"
47,DOB: 02.05.0963
48,"Date: 06E05.2011
DOB: U7.14.1958"
49,"Lisa CDoss
Date: 07.16.199P"
50,"James Surray
Date: 12.21h2020"
51,"Kurt Z2mora
Date: 09.01.i996
DOB: 11.Y0.2005"
52,
53,"Teresa wing
Date: )0.24.2016
DOB: 10.24.1977"
54,DOB: g5.06.1965
55,Mr. Ke(ly Richards
56,"Bradle| Rogers
DOB: 02.1!.1952
ChVst M- Scan"
57,"Date: 03.11.20A8
DOB: 02.18.^934"
58,"MrsF Jamie Gay
DOB: 11.13q2004"
59,DOB: 12.05R1961
60,DOB: 08.28.19b7
61,"Derek SalazaI
DOB: 12.22.19i1
Abd9men  T Scan"
62,Caitlic George
63,"Date: 1L.23.2002
DOB: 10F03.1957
C!est C; Scan"
64,Date: 12.07.20T0
65,Date: 65.18.2010
66,Jacqueline Mende^
67,Date: 01.29.19V5
68,"5erri Brown
Date: 12.R2.2011
DOB: 05.13.200'"
69,"Date: 12.04.201G
DOB: 09.3F.1973"
